Facility_Name,Product,Tags,Volume,Retail_Price,Cost_Price,In_Stock,Availability,Earliest_Expiry,Total_Cost,Sales_Value
Maisha Meds Pharmacy Test,Synthecon 3/8 Circle, 180Cm 40MM / NO.1,-,-,5174,3980,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Water Proof Sheeting MaterialDeep Green (Mackintosh) 100cm X 50m 100cm X 50m,-,-,39235,29500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Darts Board With 1 Set Of Darts Arrows 1,-,-,3419,2630,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Yevovir 300MG,-,-,20,15.38,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,CHVS Backpack Carrier Bag ,-,-,6500,5000,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic MIDI,-,-,185,142.31,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Interlocking I. M tibial nail stainless steel, size 10mm × 34cm ,-,-,8060,6200,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Locking Screws For Reconstruction Nail Diameter 5.9Mm , Stainless Steel,  Length 95Mm ,-,-,1501.5,1155,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 6.5mm/85mm,-,-,630.5,485,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 6.5mm/30mm,-,-,604.5,465,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic SIZE S,-,-,1995,1500,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic Non-Powdered SIZE 7.5,-,-,2730,2100,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Generic 4.5/135mm,-,-,3094,2380,0,Out of Stock,,0,0
Maisha Meds Pharmacy Test,Allucid Plus 25MG / 195MG / 220MG,antiacid,200ML,450,300,0,Out of Stock,Wed Feb 01 2023 03:00:00 GMT+0300 (East Africa Time),0,0
Maisha Meds Pharmacy Test,Suxamethonium Chloride Injection ,-,-,71.5,55,0,Out of Stock,,0,0
